#,Hotel Name (English),Hotel Name (Arabic),City,License Number,Classification,Status,Hotel ID
2519,Establishment Commercial,مؤسسة مستور بن مبيريك بن امبارك المطرفي التجارية,Makkah,10011847,Unclassified/Other,Active,298515
2520,Mohammed Ahmed Almatrafi,مؤسسة محمد بن احمد بن ناصر المطرفي التجارية,Makkah,10011846,Unclassified/Other,Active,293578
2521,Company For General ContrSULIMAN MOHAMMAD ALTAMIM,شركة سليمان محمد التميمي للمقاولات العامة,Makkah,10011845,Unclassified/Other,Active,293755
2522,ZUHAIR ABDULHAMID KHAYAT Establishment,مؤسسة زهير بن عبدالحميد خياط,Makkah,10011844,Unclassified/Other,Active,293918
2523,ABDULLAH MOHAMMED ALQAHTANI Company,شركة عبدالله محمد القحطاني,Makkah,10011943,Unclassified/Other,Active,293791
2524,Anwar Almarjan Company Ltd.,شركة أنوار المرجان المحدودة,Makkah,10011942,Unclassified/Other,Active,293971
2525,Diyafat Alnujum Establishment For residential unit,مؤسسة ضيافة النجوم للوحدات السكنية,Makkah,10011941,Unclassified/Other,Active,293822
2526,SAAD AHMED DEMYATI Establishment For Housing,مؤسسة سعد أحمد دمياطي للاسكان,Makkah,10011940,Unclassified/Other,Active,294675
2527,alkiram alfidi Hostel,نزل الكرام الفضي,Madina,10011938,Unclassified/Other,Active,293935
2528,7alHidayah alKubra Hotel Hotel,فندق الهداية الكبرى الفندقية,Makkah,10011937,Unclassified/Other,Active,293829
2529,makhayyam rafadah Company Ltd,شركة مخيم رفادة المحدودة شركة شخص واحد,Makkah,10011936,Unclassified/Other,Active,293789
2530,Moro Company Global lilshqq walfanadiq sharikat sh,شركة مورو العالمية للشقق والفنادق شركة شخص واحد,Makkah,10011935,Unclassified/Other,Active,293973
2531,ABDULAZIZ SUHAIL ALGHAMDI Company,شركة عبدالعزيز سهيل الغامدي,Makkah,10011934,Unclassified/Other,Active,294264
2532,makhayyam rafadah Company Ltd,شركة مخيم رفادة المحدودة شركة شخص واحد,Makkah,10011933,Unclassified/Other,Active,294935
2533,Imarat littashghil Company Ltd.,شركة إمارات للتشغيل المحدودة,Makkah,10012220,Unclassified/Other,Active,295095
2534,dhi almashair Establishment,مؤسسة ضيء المشاعر,Makkah,10012219,Unclassified/Other,Active,295936
2535,Ali Mohammed Abdullah Al Rajhi Endowment Foundatio,مؤسسة علي محمد عبدالله الراجحي الوقفية الأولى,Makkah,10012218,Unclassified/Other,Active,297198
2536,Ali Mohammed Abdullah Al Rajhi Endowment Foundatio,مؤسسة علي محمد عبدالله الراجحي الوقفية الأولى,Makkah,10012217,Unclassified/Other,Active,297255
2537,Mohamed bin saif company for general contracting,شركة محمد سيف اليماني للمقاولات العامة,Makkah,10012216,Unclassified/Other,Active,296195
2538,Masar Al Izz Hotel Hotel Establishment,مؤسسة فندق مسار العز الفندقية,Makkah,10012215,Unclassified/Other,Active,296815
2539,alkhaymah Company To operate hotels,شركة الخيمة لتشغيل الفنادق,Makkah,10012214,Unclassified/Other,Active,296039
