Hotel Name (English),Hotel Name (Arabic),City,License Number,Classification,Status,Hotel ID
Waqf outhman bin affan hotel,فندق وقف عثمان بن عفان,Madinah,10008752,1-Star,Active,239237
Dar Al Naeem,فندق دار النعيم,Madinah,10007920,1-Star,Active,224814
Ewan AlRabwah for serviced apartments,مؤسسة إيوان الربوة للشقق المخدومة,Madinah,10007918,2-Star,Active,288835
Ansam tyaba,فندق انسام طيبه للضيافة السياحي,Madinah,10007519,1-Star,Active,256418
Abral Hotel,فندق ابرال الفندقية,Madinah,10002511,1-Star,Active,228401
Al Eairy Serviced Apartments Company,شركة العييري للشقق المخدومة,Madinah,10007398,2-Star,Active,242979
SEASON STAR HOTEL,فندق نجم الموسم الفندقية,Madinah,10002486,3-Star,Active,258736
Dosh Serviced Apartments,شقق دوش للشقق المخدومة,Madinah,10007480,2-Star,Active,242234
Castle Hotel,فندق كاسيل الفندقية,Madinah,10007448,2-Star,Active,221981
KAREM ALZAHBI HOTEL,فندق كارم الذهبي الفندقية,Madinah,10007222,1-Star,Active,242972
almadina al-joudida Hotel for Tourist Hospitality,فندق المدينة الجديدة للضيافة السياحي,Madinah,10007434,3-Star,Active,235904
AL Alya Hotel,فندق العلياء,Madinah,10007433,1-Star,Active,235831
AL ANSAR GOLDEN TULIP HOTEL,فندق الانصار جولدن توليب,Madinah,10002526,3-Star,Active,254406
Guest Time Hotel,فندق وقت النزيل الفندقية,Madinah,10007973,1-Star,Active,235899
Plaza Inn One,بلازا إن أحد,Madinah,10007968,1-Star,Active,235823
Durrat Balensia Hotel,فندق درة بلنسية الفندقية,Madinah,10009332,1-Star,Active,259377
Fakhamat Al Madinah Gifts Company,شركة فخامة المدينة للهدايا,Madinah,10009420,2-Star,Active,259137
Diwan Alhijra,ديوان الهجره,Madinah,10009338,1-Star,Active,235838
Diyar Taiba Hotel,فندق ديار طيبه الفندقية,Madinah,10008736,1-Star,Active,239196
Al Manar Silver Hotel 2,المنار الفضي(2),Madinah,10008743,1-Star,Active,235815
Arkan Aldahbi Hotel,فندق أركان الذهبي الفندقية,Madinah,10008724,1-Star,Active,254796
Diwan Almadinah Hotel,ديوان المدينة,Madinah,10008723,1-Star,Active,235903
Faraj almadina hotel,فندق فرج المدينة الفندقية,Madinah,10008721,3-Star,Active,235763
Ramah Almadina For Serviced Apartments,مؤسسة رامة المدينة للشقق المخدومة,Madinah,10008718,2-Star,Active,269067
Valy Hotel,فندق فالي المدينة,Madinah,10006897,1-Star,Active,235824
ROYA AL ANDALUS COMPANY,شركة رؤيا الأندلس لتشغيل الفنادق شخص واحد,Madinah,10001976,2-Star,Active,235275
Ruve Hotel,فندق روف المدينة الفندقية,Madinah,10001932,1-Star,Active,227512
Shaza Regency Plaza Hotel,فندق شذا ريجنسي بلازا للفنادق,Madinah,10007217,3-Star,Active,226899
PLATINUM HOTIL,فندق بلاتينيوم الفندقية,Madinah,10007368,1-Star,Active,247583
itlalat uhud,فندق اطلالة احد الفندقية,Madinah,10007367,1-Star,Active,245427
Almokhtara internatlonnal hotel,شركة المختارة العالمي للخدمات الفندقيه شخص واحد,Madinah,10007215,1-Star,Active,230295
Anfal Taiba Serviced Apartments,شقق انفال طيبة للشقق المخدومة,Madinah,10007363,2-Star,Active,255015
AL RITZ AL MADINA HOTEL,فندق الريتز المدينة,Madinah,10007213,3-Star,Active,226810
AL Madinah Hilton Hotel,فندق المدينة هيلتون,Madinah,10007360,1-Star,Active,235837
Gacine hotel,فندق غسن الفندقية,Madinah,10007357,1-Star,Active,254655
Company Ltd. shakhs wahid,شركة وقار العالمي المحدودة شخص واحد,Madinah,10011440,Unclassified/Other,Active,293456
abraj shahd Company for Hotel services,شركة ابراج شهد للخدمات الفندقية,Madinah,10011437,Unclassified/Other,Active,292135
one inn hotel,شركة فندق ون ان الفندقية,Madinah,10007935,1-Star,Active,235073
AZhar Salsabil,فندق ازهار سلسبيل الفندقية,Madinah,10008022,1-Star,Active,235820
Assaafa Golden Hotel,فندق السعفة الذهيبة,Madinah,10008021,3-Star,Active,235787
Maysan Al Harithia,فندق ميسان الحارثية ,Madinah,10008016,1-Star,Active,235805
Dan Hotel,شركة فندق دان الفندقية,Madinah,10008010,1-Star,Active,259644
afaq alfaday,شركة افاق الفضي لتشغيل الفنادق,Madinah,10010513,1-Star,Active,244521
Safwa Taiba Hotel Suites Establishment,مؤسسة فندق اجنحة صفوة طيبة الفندقية,Madinah,10010507,1-Star,Active,255176
Ajyal Almadinah Hotel 2,فندق اجيال المدينة 2,Madinah,10009725,1-Star,Active,235885
Ruh Taiba Hotel,فندق روح طيبة الفندقية,Madinah,10009714,1-Star,Active,256476
Hotel Ruaa Alsaadah,فندق رؤى السعادة للخدمات الفندقيه,Madinah,10008714,1-Star,Active,225212
ALBADR SERVIEED APARTMENTS,شقق البدر للشقق المخدومة,Madinah,10007964,2-Star,Active,269777
hayah plaza hotel,فندق حياة بلازة الفندقية,Madinah,10007962,1-Star,Active,244735
Anwar Alzahraa Hotel,فندق أنوار الزهراء الفندقية,Madinah,10007906,1-Star,Active,230671
Rawabi Alzahraa Hotel,شركة روابي الزهراء للخدمات الفندقيه,Madinah,10007905,1-Star,Active,235733
Afaq Taiba,شركة آفاق الايمان للتشغيل والصيانة,Madinah,10007911,1-Star,Active,242951
Grand plaza madinah Hotel,فندق جراند بلازا المدينة,Madinah,10007910,1-Star,Active,227638
Con Code Alnazeel Hotel,فندق كون كود النزيل للخدمات الفندقية,Madinah,10007907,1-Star,Active,235915
Moroccan Hotel,شركة فندق المغاربي للضيافة السياحي,Madinah,10010036,1-Star,Active,242589
Umsia Alhijaz For serviced apartment,شقق أمسية الحجاز للشقق المخدومة,Madinah,10007355,2-Star,Active,259235
zawaya Almasia for serviced apartments,شقق زوايا الماسية للشقق المخدومة,Madinah,10007352,2-Star,Active,242226
Loma Hotel,فندق لوما الفندقية,Madinah,10007350,1-Star,Active,239935
Diyar AlIman Hotel Services Company,شركة ديار الايمان للخدمات الفندقيه,Madinah,10006850,1-Star,Active,230668
THEEXECUTIVESUNRISE,شركة اشراق التنفيذي للخدمات الفندقية,Madinah,10006835,4-Star,Active,230883
Hafawah Suites,شقق أجنحة حفاوه للوحدات السكنية,Madinah,10001910,2-Star,Active,271757
Sidra Alia AL-DAHABI hotel,فندق السدرة العالية الذهبي للايواء السياحي,Madinah,10007347,1-Star,Active,244235
Rua Taiba Plus Hotel,شركة رؤئ طيبة بلس للضيافة السياحي,Madinah,10007348,1-Star,Active,259275
Hotel Shyan,فندق شيان الفندقية,Madinah,10007332,1-Star,Active,256475
Hotel ALANWAN AL DAHABI Hotel,فندق العنوان الذهبي الفندقية,Madinah,10007327,1-Star,Active,287655
manazil almarsa hotel,فندق منازل المرسى الفندقية,Madinah,10009085,1-Star,Active,228387
Diyar Al Habib Hotel,فندق ديار الحبيب الفندقية,Madinah,10008947,1-Star,Active,235765
ANWAR ALMADINAH MOVENPICK HOTEL,فندق أنوار المدينة موفنبيك,Madinah,10009082,Unclassified/Other,Active,235916
Wrdat AlSaadah Hotel,شركة وردة السعادة الفندقية,Madinah,10008944,1-Star,Active,223344
Diyar AlSaliheen Limited Company,شركة ديار الصالحين المحدودة شخص واحد,Madinah,10009069,2-Star,Active,259415
Malameh ALmadinah furnished,مؤسسة شقق ملامح المدينة المخدومة,Madinah,10010476,2-Star,Active,259215
Shaza Saffron Hotel for Tourist Accommodation,مؤسسة فندق شذا الزعفران للايواء السياحي,Madinah,10010490,Unclassified/Other,Active,225188
ALNAQAT AL THAMANIH HOTEL,شركة فندق النقاط الثمانية للضيافة السياحي ,Madinah,10010466,1-Star,Active,239110
Marsa Al Khair Tourist Accommodation Foundation,مؤسسة نزل مرسى الخير للايواء السياحي,Madinah,10010460,Unclassified/Other,Active,226099
DRUB AL SAKINA FOR HOTEL SERVICES,شركة دروب السكينة للخدمات الفندقيه,Madinah,10010238,1-Star,Active,259140
Diyar Al Gharaa Hotel,فندق ديار الغراء ,Madinah,10010072,1-Star,Active,235893
Peninsula Worth Hotel,فندق بيننسولا وورث للخدمات الفندقيه,Madinah,10009844,Unclassified/Other,Active,241265
Al Eairy Serviced Apartments Company is a one pers,شركة العييري للشقق المخدومة شركة شخص واحد,Madinah,10010056,2-Star,Active,242494
Shaza Al Munawara Hotel,فندق شذا المنورة الفندقية,Madinah,10010044,1-Star,Active,221938
sharikat alafaq almasiat lilkhadamat alfunduqia,شركة الافاق الماسية للخدمات الفندقية,Madinah,10009183,1-Star,Active,227753
MIRAGE ALSALAM HOTEL,فندق ميراج السلام الفندقية,Madinah,10008141,1-Star,Active,235814
Gacine hotel,فندق غسن الفندقية,Madinah,10008140,1-Star,Active,256455
Dar Al Hijra Intercontinental Hotel,شركة ديار المستدامة الفندقية,Madinah,10007902,Unclassified/Other,Active,287137
mihad almadina,مهاد المدينة بلس,Madinah,10007898,1-Star,Active,235922
Anfal Taiba Serviced Apartments,شقق انفال طيبة للشقق المخدومة,Madinah,10007897,2-Star,Active,259463
Apartments Monazel Aldid For serviced,شقق منازل الضيف للشقق المخدومة,Madinah,10007314,2-Star,Active,259016
"Al-Mihrab Hotel, Taiba",فندق المحراب طيبة,Madinah,10007303,1-Star,Active,235821
Al Aqeeq Al Rawda Hotel,فندق العقيق الروضة,Madinah,10007300,3-Star,Active,235896
Rayidat AlDiyafah AlHijra for serviced apartments,شركة رائدة الضيافة الهجره للشقق المخدومة,Madinah,10007291,Code 27,Active,302375
Rua international Hotel,شركة رؤى العالمي الفندقية,Madinah,10007202,1-Star,Active,259145
alrayyan hotel,فندق الريان,Madinah,10007280,Unclassified/Other,Active,235775
Enwan Madina Serviced Apartments,شقق عنوان المدينة للشقق المخدومة,Madinah,10007276,2-Star,Active,289255
Flavor Hotel Company,شركة فلا فور الفندقية,Madinah,10007271,1-Star,Active,287755
Finda Almadinah,فندق فندا المدينة الفندقية,Madinah,10006754,Unclassified/Other,Active,230379
LAYALI AL HALIMA,فندق الليالي الحالمة الفندقية,Madinah,10006645,1-Star,Active,254835
Maysan Rehab Al Mask Hotel,شركة ميسان رحاب المسك للخدمات الفندقيه شخص واحد,Madinah,10009685,1-Star,Active,227431
COOV FOR SERVICED APARTMENTS,شركة كوف للوحدات السكنية,Madinah,10009684,2-Star,Active,289135
ROAYA ALANDALUS,شركة رؤيا الأندلس لتشغيل الفنادق,Madinah,10009677,2-Star,Active,262354
amjadalsalam hotel,شركة فندق امجاد السلام الفندقية,Madinah,10009065,1-Star,Active,239415
Marjan Golden,شركة المرجان الذهبية للخدمات الفندقيه,Madinah,10009055,1-Star,Active,224769
wardah roma serviced apartments company,شركة وردة رومة للشقق المخدومة,Madinah,10009047,2-Star,Active,254895
BELLANTE HOTEL,فندق بلانتي,Madinah,10009064,1-Star,Active,223394
Company Millar Al Dhahbia For Hospital,شركة ميار الذهبية للضيافة السياحي,Madinah,10009035,1-Star,Active,269855
Arkan almanar Hotel,فندق أركان المنار الفندقية,Madinah,10009033,1-Star,Active,244195
Rose Almedina Hotel,فندق روز المدينة الفندقية,Madinah,10007724,1-Star,Active,254555
vatran hotel,فندق فاتور ان للايواء السياحي,Madinah,10007891,1-Star,Active,254918
Verdun suites,شقق أجنحة فيردان للشقق المخدومة,Madinah,10007889,2-Star,Active,269815
Dar Al Taqwa Madinah Hotel,فندق دار التقوى,Madinah,10007887,1-Star,Active,235818
Maghreb Hotel,شركة فندق المغاربي للضيافة السياحي,Madinah,10009832,1-Star,Active,242596
Al Amjad Al Thahabi Serviced Apartments,شقق الامجاد الذهبي للشقق المخدومة,Madinah,10010029,2-Star,Active,226157
ALFAYROZ ALDAHBI HOTEL,فندق الفيروز الذهبي,Madinah,10010018,1-Star,Active,235789
Almokhtara Algharbi hotel,فندق المختارة الغربي فرع شركة منازل المختارة التجارية,Madinah,10010011,1-Star,Active,227083
Retaj Al Madinah Tourist Hostel,نزل رتاج المدينة للنزل السياحيه,Madinah,10010007,Unclassified/Other,Active,234549
Hafawah ajnaht Serviced Apartments,شقق اجنحة حفاوه للشقق المخدومة,Madinah,10009818,2-Star,Active,274173
hayah alwaha hotel,فندق حياة الواحة الفندقية,Madinah,10010002,1-Star,Active,228005
Jiwar Al Saha Hotel,شركة جوار الساحة,Madinah,10006762,1-Star,Active,244300
Diyar Al Taqwa Hotel,فندق ديار التقوى الفندقية,Madinah,10006642,2-Star,Active,221975
HAYAH SALAM SILVER,شركة فندق حياة السلام الفضي الفندقية,Madinah,10010612,1-Star,Active,250259
ARES ALMASI HOTEL COMPANY,شركة أريس الماسي الفندقية,Madinah,10010610,1-Star,Active,287795
ALANDALES ALFAKHER For Hotel Apartments,الأندلس الفاخر للشقق الفندقية,Madinah,10009132,2-Star,Active,235890
Jawharat Al Alia,شقق جوهرة العالية الفندقية,Madinah,10008107,2-Star,Active,244375
COMPANY ASR MARMARA LTD,شركة عصر مرمرة المحدودة,Madinah,10008258,2-Star,Active,259015
Rua Almasi Hotel,رؤى الماسي,Madinah,10011283,1-Star,Active,290455
company funduq tabah al-salam hotel,شركة فندق طابة السلام الفندقية,Madinah,10007722,3-Star,Active,259360
Ajnahat Al-Baidaa Serviced Apartments Company,شركة اجنحة البيداء للشقق المخدومة,Madinah,10007718,2-Star,Active,258895
Waqf Al Safi Hotel,فندق وقف الصافي,Madinah,10007708,3-Star,Active,235785
REST INN HOTEL,مؤسسة فندق ريست إن للايواء السياحي,Madinah,10010449,1-Star,Active,287876
AL MAJD SILVER HOTEL,مؤسسة فندق المجد الفضي الفندقية,Madinah,10010445,1-Star,Active,245228
karam alhijaz liistijar waeajrir aldawr alskaniah,شركة كرم الحجاز لإستئجار وتأجير الدور السكنية,Madinah,10010234,1-Star,Active,235881
Shaza Al-Iman Tourist Hostel,مؤسسة نزل شذا الايمان للنزل السياحيه,Madinah,10010420,Unclassified/Other,Active,222965
nozl alfalah,مؤسسة نزل الفلاح العوالي للنزل السياحيه,Madinah,10010418,Unclassified/Other,Active,228629
warda salsabeel company,شركة وردة سلسبيل,Madinah,10009658,1-Star,Active,258735
vatoran 1 Hotel for Tourist Accommodation,فندق فاتور ان للايواء السياحي,Madinah,10009672,1-Star,Active,255075
Saja Hotel Company,شركة فندق سجى المدينة الفندقية,Madinah,10009290,Unclassified/Other,Active,254735
Manar Al Eman Hotel,فندق منار الايمان,Madinah,10009288,1-Star,Active,235771
Al Miqat serviced apartments,شركة الميقات للشقق المخدومة,Madinah,10009276,2-Star,Active,242943
Mawaddah Tower,برج مودة,Madinah,10009272,1-Star,Active,235746
danahtibahgroup,شقق دانة طيبة للشقق المخدومة,Madinah,10009270,2-Star,Active,262127
tubal alma siverviced apartment,شقق توبال الماسي للشقق المخدومة,Madinah,10008663,2-Star,Active,259949
Luma Hotel,فندق لوما الفندقية,Madinah,10008659,1-Star,Active,240578
Hotel Louloat Aldiyafah,فندق لؤلؤة الضيافة الفندقية,Madinah,10008639,1-Star,Active,223244
Sanabel Madinah Hotel,فندق سنابل المدينة,Madinah,10007873,1-Star,Active,244156
PALLADIUM HOTEL,فندق بلاد يوم للايواء السياحي,Madinah,10007862,1-Star,Active,288775
Sunduq Bonyan Hotel Apartments Company,شركة صندوق بنيان للشقق الفندقية,Madinah,10008817,1-Star,Active,300775
Sud boutique Hotel Operation Company,شركة سدو بوتيك لتشغيل الفنادق,Madinah,10007946,2-Star,Active,259141
Alia Gate Hotel Apartments,شقق بوابة العالية للشقق الفندقية,Madinah,10008049,2-Star,Active,260495
Al Mosafer Sabaa Hotel Apartments,شقق المسافر سبعة للشقق الفندقية,Madinah,10007101,2-Star,Active,287895
La cordia hotel Apartment,شركة اجنحة لاكورديا للشقق الفندقية,Madinah,10007190,2-Star,Active,256416
FATIMA AHMAD BEN KAYAD ALHARBI,شقق فاطمه احمد بن قياض الحربي للشقق الفندقية,Madinah,10007044,1-Star,Active,302735
Rose Holiday for Tourism Hospitality Company,شركة روز هوليداي للضيافة السياحي,Madinah,10010621,1-Star,Active,288456
Darakum Almithali establishment,مؤسسة داركم المثالي,Madinah,10010627,1-Star,Active,288596
Al Ansar new palace hotel,فندق قصر الانصار الجديد,Madinah,10002435,2-Star,Active,235758
In Taiba Hotel Apartments,مؤسسة إن طيبة للشقق المخدومة,Madinah,10009664,2-Star,Active,244536
Arjwan Almadina Hotel,شركة فندق ارجوان المدينة الفندقية,Madinah,10008931,1-Star,Active,232235
SEBAL,فندق سبال الفندقية,Madinah,10009022,1-Star,Active,227702
Karam Taibah Almasi Hotel,فندق كرم طيبة الماسي الفندقية,Madinah,10009021,1-Star,Active,222035
Diyar Al Salam Hotel,فندق ديار السلام,Madinah,10009018,1-Star,Active,221958
Manazel Alzahraa Hotel,شركة منازل الزهراء للايواء السياحي,Madinah,10009010,1-Star,Active,240531
Diyar Al Medina Hotel,فندق ديار المدينة,Madinah,10009005,1-Star,Active,230416
ABRAJ ALARAB SERVICED APARTMENT,مؤسسة أبراج العرب للشقق المخدومة,Madinah,10007707,2-Star,Active,259144
Bait Salsabil,بيت سلسبيل,Madinah,10007706,1-Star,Active,238697
Sama Alkhair Hotel,فندق سما الخير الفندقية,Madinah,10007701,1-Star,Active,259495
Rama Al Madinah Hotel Services Company,شركة راما المدينة للخدمات الفندقية,Madinah,10007858,1-Star,Active,223240
Ruh Taiba Hotel,فندق روح طيبة الفندقية,Madinah,10009992,1-Star,Active,256495
Elite AL Hijra Hotel,شركة إليت لتشغيل الفنادق,Madinah,10009812,Unclassified/Other,Active,291416
BASHAYIR TAYIBA SERVICED APARTMENTS,شقق بشاير طيبة,Madinah,10009240,2-Star,Active,235819
Sama Al-Masi Hotel Company,شركة سما الماسي الفندقية,Madinah,10008104,1-Star,Active,225243
MADEN Taiba Hotel,شركة مادن طيبة,Madinah,10008600,Unclassified/Other,Active,235806
RUA ALKHAIR,شركة رؤى الخير الفندقية,Madinah,10007764,1-Star,Active,224829
AlBaidaa Wings Serviced Apartments,اجنحة البيداء للشقق المخدومة,Madinah,10007842,2-Star,Active,258955
DORAAT ELSHARK SERVED APARTMENT,شقق درة الشرق للشقق المخدومة,Madinah,10007850,2-Star,Active,260468
Azar Apartments,شقق ازار للشقق المخدومة,Madinah,10007826,2-Star,Active,255035
Ajnahat Al-Baidaa Serviced Apartments Company,شركة اجنحة البيداء للشقق المخدومة,Madinah,10010778,1-Star,Active,271495
Arjwan Rose Hotel,فندق ارجوان روز,Madinah,10002575,Unclassified/Other,Active,235802
ROYA AL ANDALUS COMPANY,شركة رؤيا الأندلس لتشغيل الفنادق,Madinah,10010781,1-Star,Active,259376
Rabwa Al Safwa Hotel 7,فندق ربوة الصفوة,Madinah,10010791,1-Star,Active,271475
Alyasmeen,شركة الياسمين الأبيض للخدمات الفندقية شخص واحد,Madinah,10010799,1-Star,Active,269047
Afaq Almasi To operate hotels Company,شركة افاق الماسي لتشغيل الفنادق ,Madinah,10011138,1-Star,Active,292191
BELLANTE HOTEL FOR HOTEL SERVICES,فندق بلانتي للخدمات الفندقيه,Madinah,10007691,1-Star,Active,254595
Zawaya almasia Hotel,مؤسسة فندق زوايا الماسية للايواء السياحي,Madinah,10010406,1-Star,Active,244455
AFAQ ELIMAN,شركة حياة الايمان للتشغيل والصيانة,Madinah,10009618,1-Star,Active,253177
ROYA AL ANDALUS COMPANY,شركة رؤيا الأندلس لتشغيل الفنادق شخص واحد,Madinah,10009611,1-Star,Active,230488
AL ZAHABI GOLDEN TULIP,الذهبي جولدن توليب,Madinah,10009560,3-Star,Active,230431
HOTEL AL-ANDALUS DAR AL-SALAAM,فندق الأندلس دار السلام,Madinah,10008894,1-Star,Active,228531
LUXURY CITY SERVICED APRTMENTS,شقق فخامة المدينة المخدومة,Madinah,10008996,2-Star,Active,258875
Manazel Alhassan Hotel,شركة منازل الحسن للايواء السياحي,Madinah,10008762,1-Star,Active,239994
Bar AIman Hotel,فندق بر الإيمان,Madinah,10008908,1-Star,Active,241175
Amjad Al Gharra Hotel,فندق امجاد الغراء,Madinah,10008907,1-Star,Active,235923
Saraya Harmony Hotel (c),فندق سراياهارموني(ج),Madinah,10007823,1-Star,Active,235809
Nozol Royal Inn Hotel,فندق نزل رويال,Madinah,10009956,3-Star,Active,239121
Ajyal Almadinah Hotel 3,فندق اجيال المدينة 3,Madinah,10009952,1-Star,Active,235873
DOYOF COMPANY FOR TOURIST ACCOMMODATION,شركة ضيوف للايواء السياحي,Madinah,10009802,2-Star,Active,288055
Hayat Al Madin Hotel,فندق حياه المدينة الفندقية,Madinah,10009932,1-Star,Active,235891
Rose Holiday Hotel (1),فندق روزهوليداي (1),Madinah,10009236,1-Star,Active,235752
AL MADENA ANASAT HOTEL,فندق المدينة آنست للخدمات الفندقيه,Madinah,10008980,1-Star,Active,247764
Saba Ohud Serviced Apartments,شقق صبا احد للشقق المخدومة,Madinah,10008446,2-Star,Active,287715
Dan Pelatinum Hotel,فندق دان البلاتيني الفندقية,Madinah,10008443,1-Star,Active,259055
Zaha Al Munawara Hotel,فندق زها المنورة,Madinah,10008569,1-Star,Active,235778
Rest Inn Hotel for tourist accommodation,مؤسسة فندق ريست إن للايواء السياحي,Madinah,10010827,1-Star,Active,292495
ROYA ALANDALUS Hotel Operation Company,شركة رؤيا الأندلس لتشغيل الفنادق,Madinah,10010838,1-Star,Active,287877
Lujain AlDhahabi Hotel Est,مؤسسة فندق لجين الذهبي الفندقية,Madinah,10010880,1-Star,Active,271778
Abdulhamed ahmad saqr hotel,مؤسسة فندق عبدالحميد احمد صقر الفندقية,Madinah,10010692,Unclassified/Other,Active,254875
Arjwan AlSaadah Hotel,فندق ارجوان السعادة,Madinah,10008898,1-Star,Active,235822
nasuk alayman hotel,نسك الايمان,Madinah,10008896,1-Star,Active,235739
Kayan Almadina Hotel,فندق كيان المدينة,Madinah,10007667,1-Star,Active,227498
The House of Faith,دار الايمان الحرم ,Madinah,10007660,4-Star,Active,235829
Al-Deem Serviced Apartments,شقق الديم للشقق المخدومة,Madinah,10007656,2-Star,Active,259887
EWAN DAR ALHEJRA HOTEL,شركة إيوان دار الهجرة الفندقية,Madinah,10007648,1-Star,Active,254601
Dua Roz Hotel,شركة فندق دعاء روز الفندقية ,Madinah,10010333,1-Star,Active,224825
Shams Al Madinah Hostel,شركة شمس المدينة المحدودة,Madinah,10009550,Unclassified/Other,Active,226837
AlSanobra Hotel Company,شركة الصنوبره الفندقية,Madinah,10009540,1-Star,Active,288316
HOTEL TALLAQ for Hotel services,فندق تلاق للخدمات الفندقيه,Madinah,10008891,1-Star,Active,258815
Durrat Al Azizia for Serviced Apartments,شقق درة العزيزية للشقق المخدومة,Madinah,10008432,2-Star,Active,271663
MNAZEL EL TEF FOR SERVICED APARTMENTS,شركة منازل الطيف للشقق المخدومة شركة شخص واحد,Madinah,10008557,Code 27,Active,298695
Rehab Harmony Hotel,فندق رحاب هارموني,Madinah,10008089,1-Star,Active,235762
MANAZEL ALAZIZIYAH FOR SERVICED APARTMENTS,شقق منازل العزيزية للشقق المخدومة,Madinah,10008423,Code 27,Active,302015
Lviv ALmumayazah Hotel,شركة لفيف المميزة الفندقية,Madinah,10007820,1-Star,Active,288315
Byt Almadina serviced arartmint,شقق بيت المدينة للشقق المخدومة,Madinah,10007818,2-Star,Active,255095
Gacine hotel,فندق غسن الفندقية,Madinah,10007808,1-Star,Active,254695
Dan Golden Hotel,شركة دان الذهبي الفندقية,Madinah,10007800,1-Star,Active,258755
Tamanina Hotel Company,شركة طمأنينة الفندقية,Madinah,10009901,2-Star,Active,287501
Safa Taiba Hotel Operation Company,شركة صفا طيبه لتشغيل الفنادق,Madinah,10009199,1-Star,Active,251045
Rua Al Dhiyafa Hotel,رؤى الضيافة ,Madinah,10010887,1-Star,Active,271835
Diyar Al Safa Hotel Services Company,شركة ديار الصفا للخدمات الفندقية شخص واحد,Madinah,10011026,Unclassified/Other,Active,288735
Ajial Taiba,أجيال طيبة,Madinah,10011460,Unclassified/Other,Active,291402
BURJ ALMARJAN ALALAMI HOTEL,شركة برج المرجان العالمي للخدمات الفندقيه,Madinah,10008758,1-Star,Active,227846
roaya alandalus,شركة رؤيا الأندلس لتشغيل الفنادق,Madinah,10008878,2-Star,Active,259459
Sama Golden Hotel,فندق سما الذهبي الفندقية,Madinah,10008755,1-Star,Active,225269
Grand Zowar hotel,فندق جراند زوار للضيافة السياحي,Madinah,10008871,1-Star,Active,230686
Salsabil AlDhahabi Renewed Company,شركة سلسبيل الذهبي المتجدد للخدمات الفندقيه,Madinah,10008870,1-Star,Active,235811
SPALL PIUS HOTEL,فندق سبال بلس الفندقية,Madinah,10008861,1-Star,Active,227416
Diyar Al Nakheel Hotel,فندق ديار النخيل الفندقية,Madinah,10008860,1-Star,Active,235632
shaqaq filfit almakhduma,شقق المخملية المخدومة,Madinah,10007685,2-Star,Active,259175
Al-Muna Kareem Hotel for Tourist Accommodation,فندق المنى كريم للايواء السياحي,Madinah,10009201,3-Star,Active,221992
Al Manakha Rotana Hotel,المناخة روتانا,Madinah,10008380,Unclassified/Other,Active,235832
Hotel NAWAH ALAZIZIA Hotel,فندق نواة العزيزية الفندقية,Madinah,10008047,1-Star,Active,271635
AYID MAGBOL ALGHARNI Hotel Commercial,فندق عايض مقبول القرني التجارية,Madinah,10007798,1-Star,Active,288815
Mamoun Abdulghani Bri Hotel,فندق مأمون عبدالغني مأمون بري الفندقية,Madinah,10007788,1-Star,Active,251178
almanzil aalmasi for serviced apartments,شقق المنزل الماسي للشقق المخدومة,Madinah,10007786,2-Star,Active,271616
Luma Hotel,فندق لوما الفندقية,Madinah,10007768,1-Star,Active,259923
Dar Al Iman Intercontinental Hotel,شركة مساكن الايمان للخدمات الفندقيه,Madinah,10009871,Unclassified/Other,Active,288095
Diyar Al Salam Al Fidhi Hotel,فندق ديار السلام الفضي,Madinah,10009102,1-Star,Active,228022
Dhyafat Alzaer hotel,فندق ضيافة الزائر,Madinah,10009101,1-Star,Active,235886
Rehab Al Madain Tourist Lodges Company,شركة رحاب المدائن للنزل السياحيه,Madinah,10011046,Unclassified/Other,Active,288935
Company To operate hotels shakhs wahid,شركة فرسان الغد لتشغيل الفنادق شخص واحد,Madinah,10011041,Unclassified/Other,Active,288975
Abdulhamid Ahmed Saqr Hotel Hotel Establishment,مؤسسة فندق عبدالحميد احمد صقر الفندقية,Madinah,10011082,Unclassified/Other,Active,289315
Establishment iwaa almatl,مؤسسة إيواء المطل,Madinah,10011335,Code 27,Active,301155
Aaliyah AlDawadiyah Hotel Hotel,فندق عالية الدوادية الفندقية,Madinah,10011330,1-Star,Active,290678
Hotel RASIA Hotel,فندق راسيا الفندقية,Madinah,10007682,1-Star,Active,271760
Al Shohadaa ALFAKHIR  Hotel Apartments,شقق الشهداء الفاخر للشقق المخدومة,Madinah,10007680,2-Star,Active,259095
Al Fakhama Diamond Serviced Apartments,شقق الفخامة الماسية للشقق المخدومة,Madinah,10007678,2-Star,Active,221921
Golden Jasmine Hotel,فندق الياسمين الذهبي الفندقية,Madinah,10007674,1-Star,Active,241471
Elite Haven,مؤسسة إيلايت هافن,Madinah,10010310,Unclassified/Other,Active,256834
ANAF HOTEL,مؤسسة فندق أناف للايواء السياحي,Madinah,10010309,1-Star,Active,254675
Maghreb Hotel for Tourist Hospitality,شركة فندق المغاربي للضيافة السياحي,Madinah,10010199,1-Star,Active,241256
Sina Serviced Apartments Company One Person,شركة سينا للشقق المخدومة شخص واحد,Madinah,10010198,2-Star,Active,256415
Rabwa Al Safwa Hotel 8,فندق ربوة الصفوة,Madinah,10010188,1-Star,Active,269875
HOTEL ALBARAKA KARIM TOURISM HOSPITALITY COMPANY,فندق شركة البركة كريم للضيافة السياحي,Madinah,10009519,1-Star,Active,235926
