Hotel Name (English),Hotel Name (Arabic),City,License Number,Classification,Status,Hotel ID
AL SHAKREEN GOLDEN TULIP,فندق الشاكرين جولدن توليب الفندقية,Madinah,10001493,3-Star,Active,228406
njoom al madina,فندق نجوم المدينة الفندقية,Madinah,10002220,Unclassified/Other,Active,291180
Arjwan Alsalam Hotel,فندق ارجوان السلام,Madinah,10001637,Unclassified/Other,Active,235839
Sukoon Hotel,فندق سكون,Madinah,10002089,Unclassified/Other,Active,234495
gelnar alraqi,فندق جلنار الراقي للايواء السياحي,Madinah,10000801,Unclassified/Other,Active,254455
muasasat nazal nida' tiibat almasi lilnazal alsiya,مؤسسة نزل نداء طيبة الماسي للنزل السياحيه,Madinah,10010589,Unclassified/Other,Active,239359
ALKARAR ALDAHABI TOURIST HOSTEL,نزل الكرار الذهبي للنزل السياحي,Madinah,10010966,Unclassified/Other,Active,288056
ALANDALUS ALMADINAH HOTEL,شركة الاندلس لصيانة وادارة وتشغيل الفنادق والقصور السكنيه,Madinah,10010964,1-Star,Active,288035
Shams Al Madinah Hotel Co,شركة شمس المدينة المحدودة,Madinah,10011211,1-Star,Active,290355
Karam Al Saada Hotel Hotel,فندق كرم السعادة الفندقية,Madinah,10011207,1-Star,Active,290115
Emaar Rsoukh Hotel,شركة إعمار رسوخ الفندقية,Madinah,10011245,1-Star,Active,291319
Royal Almadinah Hotel,فندق رويال المدينة,Madinah,10002351,1-Star,Active,267647
JUD Al-Marjan Hotel,شركة جود المرجان لتشغيل الفنادق,Madinah,10010817,1-Star,Active,271477
Al Majd Al alfidiy Hotel,فندق المجد الفضي الفندقية,Madinah,10010810,1-Star,Active,266465
Ruya Alandalus Company,شركة رؤيا الأندلس,Madinah,10012346,Code 27,Active,299118
Hayah Alhuda hotel,شركة ابو الجود للتشغيل والصيانة,Madinah,10002610,Unclassified/Other,Active,288075
